sku;INTERNO;name;quantity;price;;;
95030099;14040;.CADEIRINHA C/ BLOCOS 7200, 7300;0;90,74;;;
;14912;.CAFETEIRA ESPRES OSTER 7100;0;1.435,46;;;
SEM GTIN;24941;.CAFEZINHO VALDEMOVEIS MANTIQUEIRA;2;649,56;;;
7898649371208;18168;.CAIXA AMPLIF. AMVOX ACA 380 VIPER;0;794,74;;;
7899755662273;7597;.CAIXA BOLA NATAL C/20 85879;1;60,7;;;
50036368797;14782;.CAIXA BOOMBOX JBL ND0617-HL0010966;0;3.694,95;;;
7899632506492;20310;.CAIXA REGISTRADORA 78883;0;118,82;;;
7899632506508;19096;.CAIXA REGISTRADORA 82774;0;93,32;;;
;3993;.CALCA UNIFORME ESCOLAR G;0;76;;;
;20515;.CALCA UNIFORME ESCOLAR MA;1;72;;;
;3199;.CALCA UNIFORME ESCOLAR MI;9;60;;;
;9730;.CALCA UNIFORME ESCOLAR MJ;11;65;;;
;17180;.CALCA UNIFORME ESCOLAR PA;-3;70;;;
;3456;.CALCA UNIFORME ESCOLAR PI;2;57;;;
7899790928259;5503;.CALCUL. ALFACELL AL3860A;1;25,25;;;
7899454442237;2082;.CALCUL. MAXMIDIA MAX-268A;2;15,15;;;
SEM GTIN;1146;.CAMA CAS. EUCALIPTO;1;458,98;;;
SEM GTIN;1381;.CAMA CAS. SUC. SABRINA MONARCA ;-1;838,01;;;
SEM GTIN;4690;.CAMA CAS. SUC. SABRINA TROPICAL;0;631,18;;;
SEM GTIN;7974;.CAMA CAS. SUC. SABRINA VILA VELHA;0;838,01;;;
SEM GTIN;1157;.CAMA SOLT. EUCALIPTO;5;405,84;;;
SEM GTIN;2243;.CAMA SOLT. SUC. SABRINA MONARCA ;4;686,45;;;
SEM GTIN;1147;.CAMA SOLT. SUC. SABRINA TROPICAL;0;533,12;;;
SEM GTIN;2006;.CAMA SOLT. SUC. SABRINA VILA VELHA;0;686,45;;;
SEM GTIN;20921;.CAMERA BOLHA ;1;64,42;;;
SEM GTIN;14899;.CAMERA PROJETOR CARROS 626;3;15,51;;;
SEM GTIN;14900;.CAMERA PROJETOR PRINCESAS 625;5;15,51;;;
7898300573026;13695;.CAMINHAO BEACH PLAY CARREGADEIRA 302;0;130,76;;;
7898903459277;9121;.CAMINHAO BI TREM MADEIRA BOIADEIRO 27;0;44,32;;;
7896965213509;6039;.CAMINHAO BOIADEIRO VOYAGER 1350;0;55,77;;;
7899653721140;2302;.CAMINHAO CACAMBA FRICCAO EL9791003;2;21,29;;;
7898002435165;13693;.CAMINHAO CEGONHEIRA COMPACTA 516;1;23,64;;;
7896965213219;5814;.CAMINHAO CEGONHEIRA DIAMOND 1321;0;152,15;;;
7896965213080;16361;.CAMINHAO CEGONHEIRA DIESEL 1308;0;214,72;;;
7898096085710;19103;.CAMINHAO FROTI 571;5;16,9;;;
7896965214308;16314;.CAMINHAO GUINCHO 1430;1;47,31;;;
SEM GTIN;14042;.CAMINHAO ROMA WORKERS 341;0;62,42;;;
7908487305935;25697;.CAMINHAO SUPER ROBO TK-1065;0;84,85;;;
7896965214209;16313;.CAMINHAO TIRA ENTULHO 1420;0;37,79;;;
7898300570872;7763;.CAMINHAO TRUCK 087;0;89,79;;;
7896965215107;447;.CAMINHETE BRUTALE BOMBEIRO 1510;0;77,54;;;
;2207;.CAMISETA UNIFORME ESCOLAR MA;11;54;;;
;17199;.CAMISETA UNIFORME ESCOLAR MI;14;45;;;
;17182;.CAMISETA UNIFORME ESCOLAR MJ;11;49;;;
;17184;.CAMISETA UNIFORME ESCOLAR PA;10;52;;;
SEM GTIN;18584;.CANECA 5214;1;38,74;;;
7908281335626;20166;.CANECA ESTAMPADA ARVORE NATAL NTD70004;0;25,95;;;
7898268657387;13672;.CANECA PORCELANA SORTIDAS 2424, 349;1;26,92;;;
7899790936810;22446;.CANECA VIDRO PAI 16112, 70007;3;14,57;;;
SEM GTIN;16834;.CAPA P/ ALMOFADA NORDESTE PIQUE 60/60  ;0;30,24;;;
SEM GTIN;1840;.CAPA P/ CELULARES;15;22,41;;;
7897924003070;19821;.CAPA P/ COLC. CAS. IMPE. PLAST 100429;3;88,87;;;
7897924003094;19793;.CAPA P/ COLC. CAS. IMPE. PLAST 100430;6;92,18;;;
7897924019385;15598;.CAPA P/ COLC. CAS. IMPE. PLAST 1938;0;129,69;;;
7897924099783;7344;.CAPA P/ COLC. CAS. IMPE. PLAST 9978;0;117,91;;;
7897924003117;19794;.CAPA P/ COLC. SOLT. IMPE. PLAST 100432;1;77,34;;;
7897924019378;9638;.CAPA P/ COLC. SOLT. IMPE. PLAST 1937;0;110,66;;;
7897924099790;7345;.CAPA P/ COLC. SOLT. IMPE. PLAST 9979;4;74,04;;;
7897924079105;6105;.CAPA P/ LAVADORA PLAS-NOVA 10366;6;46,01;;;
7897924076210;9640;.CAPA P/ LAVADORA PLAS-NOVA 12K/15K;7;49,31;;;
7897924002165;19822;.CAPA P/ LAVADORA PLAS-NOVA 16K/17K;2;47,83;;;
SEM GTIN;15608;.CAPA P/ LAVADORA PLAS-NOVA 5927, 5320;8;47,66;;;
7897924000758;5979;.CAPA P/ LAVADORA PLAS-NOVA 5927,5320,75;3;44,35;;;
